period,month-year,revenue,value
1,01-2018,20.4,Billion
2,02-2018,20.5,Billion
3,03-2018,20.8,Billion
4,04-2018,20.1,Billion
5,05-2018,20.5,Billion
6,06-2018,20.2,Billion
7,07-2018,20.1,Billion
8,08-2018,20.0,Billion
9,09-2018,20.0,Billion
10,10-2018,19.6,Billion
11,11-2018,19.8,Billion
12,12-2018,19.8,Billion
1,01-2019,19.7,Billion
2,02-2019,20.2,Billion
3,03-2019,20.3,Billion
4,04-2019,20.2,Billion
5,05-2019,20.5,Billion
6,06-2019,20.2,Billion
7,07-2019,19.5,Billion
8,08-2019,19.6,Billion
9,09-2019,19.6,Billion
10,10-2019,19.8,Billion
11,11-2019,19.8,Billion
12,12-2019,19.8,Billion
1,01-2020,17.6,Billion
2,02-2020,17.1,Billion
3,03-2020,9.53,Billion
4,04-2020,5,Billion
5,05-2020,4.89,Billion
6,06-2020,4.72,Billion
7,07-2020,4.12,Billion
8,08-2020,3.84,Billion
9,09-2020,3.83,Billion
10,10-2020,4.14,Billion
11,11-2020,4.65,Billion
12,12-2020,4.9,Billion
1,01-2021,5.16,Billion
2,02-2021,4.84,Billion
3,03-2021,5.25,Billion
4,04-2021,5.27,Billion
5,05-2021,6.23,Billion
6,06-2021,6.86,Billion
7,07-2021,7.04,Billion
8,08-2021,7.1,Billion
9,09-2021,7.24,Billion
10,10-2021,7.61,Billion
11,11-2021,10.4,Billion
12,12-2021,11.2,Billion
1,01-2022,9.9,Billion
2,02-2022,10.8,Billion
3,03-2022,11.8,Billion
4,04-2022,13.8,Billion
5,05-2022,13.9,Billion
6,06-2022,13.9,Billion
7,07-2022,14.5,Billion
8,08-2022,14.8,Billion
9,09-2022,15.2,Billion
10,10-2022,15.4,Billion
11,11-2022,15.6,Billion
12,12-2022,15.9,Billion
1,01-2023,16,Billion
2,02-2023,16.3,Billion
3,03-2023,16.5,Billion
4,04-2023,17.1,Billion
5,05-2023,17.3,Billion
6,06-2023,17,Billion
7,07-2023,17.8,Billion
8,08-2023,18.6,Billion
9,09-2023,19,Billion
10,10-2023,18.8,Billion
11,11-2023,19.1,Billion
12,12-2023,19.5,Billion
1,01-2024,20.4,Billion
2,02-2024,21.1,Billion
3,03-2024,21.1,Billion
4,04-2024,20.7,Billion
5,05-2024,21.7,Billion
6,06-2024,21.2,Billion
