County, FIPS,Value 9th Grade(Percent),People 9th Grade Education,Rank within US (of 3143 counties)
"United States",00000,4.7,10742781,"N/A"
"Minnesota",27000,2.7,103548,"12 of 52"
"Nobles County",27105,14.9,2079,"3,097"
"Watonwan County",27165,7.2,544,"2,760"
"Todd County",27153,5.5,963,"2,395"
"Kandiyohi County",27067,5.5,1605,"2,386"
"Ramsey County",27123,4.8,17736,"2,173"
"Freeborn County",27047,4.6,1019,"2,112"
"Mower County",27099,4.6,1229,"2,099"
"Fillmore County",27045,3.8,552,"1,743"
"Stearns County",27145,3.7,3640,"1,708"
"Clearwater County",27029,3.6,207,"1,625"
"Mahnomen County",27087,3.5,114,"1,594"
"Stevens County",27149,3.5,201,"1,571"
"Murray County",27101,3.5,201,"1,559"
"Chippewa County",27023,3.4,296,"1,543"
"Lyon County",27083,3.3,536,"1,479"
"Cottonwood County",27033,3.3,256,"1,458"
"Swift County",27151,3.3,223,"1,452"
"Hennepin County",27053,3.2,28785,"1,442"
"Big Stone County",27011,3.2,121,"1,425"
"Sibley County",27143,2.9,306,"1,251"
"Rice County",27131,2.9,1248,"1,222"
"Norman County",27107,2.8,126,"1,182"
"Lincoln County",27081,2.7,107,"1,115"
"Pipestone County",27117,2.7,168,"1,102"
"Kanabec County",27065,2.7,307,"1,089"
"Wadena County",27159,2.7,249,"1,086"
"Otter Tail County",27111,2.6,1128,"1,072"
"Renville County",27129,2.6,270,"1,070"
"Redwood County",27127,2.6,266,"1,025"
"Polk County",27119,2.6,538,"1,024"
"Olmsted County",27109,2.5,2710,"967"
"Traverse County",27155,2.4,57,"937"
"Morrison County",27097,2.3,552,"852"
"Wabasha County",27157,2.3,360,"850"
"Anoka County",27003,2.3,5723,"833"
"Scott County",27139,2.3,2231,"814"
"Steele County",27147,2.3,569,"801"
"Winona County",27169,2.2,680,"742"
"Rock County",27133,2.2,142,"736"
"Marshall County",27089,2.2,138,"734"
"Brown County",27015,2.2,386,"728"
"Yellow Medicine County",27173,2.2,144,"727"
"Blue Earth County",27013,2.0,830,"634"
"Becker County",27005,2.0,493,"625"
"Clay County",27027,2.0,810,"619"
"Pope County",27121,2.0,167,"617"
"Benton County",27009,2.0,548,"603"
"Faribault County",27043,2.0,197,"586"
"Kittson County",27069,2.0,59,"578"
"Mille Lacs County",27095,2.0,365,"576"
"Carlton County",27017,2.0,502,"562"
"Wilkin County",27167,1.9,88,"554"
"Jackson County",27063,1.9,139,"546"
"Martin County",27091,1.9,275,"540"
"Waseca County",27161,1.9,252,"538"
"Pine County",27115,1.9,409,"524"
"Roseau County",27135,1.9,200,"519"
"Carver County",27019,1.9,1334,"503"
"Beltrami County",27007,1.9,540,"494"
"Red Lake County",27125,1.8,50,"467"
"Dakota County",27037,1.8,5352,"443"
"Koochiching County",27071,1.7,153,"373"
"McLeod County",27085,1.7,426,"367"
"Sherburne County",27141,1.6,1019,"325"
"Cass County",27021,1.6,350,"316"
"Aitkin County",27001,1.6,195,"314"
"Grant County",27051,1.6,68,"312"
"Meeker County",27093,1.6,247,"302"
"Goodhue County",27049,1.5,512,"282"
"Isanti County",27059,1.5,433,"273"
"Le Sueur County",27079,1.4,289,"243"
"Douglas County",27041,1.4,393,"224"
"Washington County",27163,1.4,2558,"221"
"St. Louis County",27137,1.4,1921,"218"
"Lake County",27075,1.4,113,"209"
"Nicollet County",27103,1.4,305,"205"
"Wright County",27171,1.4,1256,"200"
"Dodge County",27039,1.2,172,"168"
"Pennington County",27113,1.2,117,"161"
"Houston County",27055,1.2,161,"159"
"Hubbard County",27057,1.2,185,"153"
"Crow Wing County",27035,1.2,556,"144"
"Lac qui Parle County",27073,1.1,52,"116"
"Chisago County",27025,1.0,396,"97"
"Itasca County",27061,1.0,316,"91"
"Cook County",27031,0.5,22,"25"
"Lake of the Woods County",27077,0.4,11,"18"
