County, FIPS,Value Bachelor(Percent),People Bachelors Degree,Rank within US (of 3143 counties)
"United States",00000,34.3,77751347,"N/A"
"Minnesota",27000,38.2,1479840,"11 of 52"
"Mahnomen County",27087,13.7,444,"2,802"
"Todd County",27153,14.8,2604,"2,628"
"Kanabec County",27065,15.0,1725,"2,608"
"Pine County",27115,15.4,3304,"2,542"
"Traverse County",27155,16.2,379,"2,407"
"Mille Lacs County",27095,16.7,3073,"2,331"
"Nobles County",27105,17.0,2384,"2,278"
"Freeborn County",27047,17.1,3749,"2,273"
"Koochiching County",27071,17.1,1558,"2,271"
"Red Lake County",27125,17.3,474,"2,227"
"Morrison County",27097,17.5,4139,"2,204"
"Sibley County",27143,17.8,1858,"2,145"
"Renville County",27129,18.0,1844,"2,126"
"Watonwan County",27165,18.2,1376,"2,078"
"Clearwater County",27029,18.3,1058,"2,058"
"Aitkin County",27001,18.3,2271,"2,033"
"Wadena County",27159,18.4,1721,"2,028"
"Marshall County",27089,18.5,1168,"1,998"
"McLeod County",27085,18.9,4831,"1,932"
"Grant County",27051,19.0,826,"1,903"
"Yellow Medicine County",27173,19.4,1282,"1,845"
"Pennington County",27113,19.7,1906,"1,803"
"Isanti County",27059,19.7,5659,"1,793"
"Chippewa County",27023,19.8,1704,"1,774"
"Roseau County",27135,20.0,2098,"1,740"
"Redwood County",27127,20.0,2074,"1,733"
"Meeker County",27093,20.0,3190,"1,729"
"Big Stone County",27011,20.3,762,"1,669"
"Pipestone County",27117,20.5,1281,"1,640"
"Lac qui Parle County",27073,20.8,1017,"1,599"
"Lake of the Woods County",27077,21.2,617,"1,526"
"Faribault County",27043,21.4,2120,"1,500"
"Murray County",27101,21.6,1255,"1,472"
"Norman County",27107,21.9,976,"1,444"
"Waseca County",27161,22.0,2875,"1,429"
"Lincoln County",27081,22.4,882,"1,379"
"Pope County",27121,22.4,1841,"1,372"
"Cottonwood County",27033,22.5,1756,"1,351"
"Swift County",27151,22.9,1562,"1,300"
"Jackson County",27063,23.1,1656,"1,281"
"Martin County",27091,23.1,3283,"1,280"
"Fillmore County",27045,23.3,3395,"1,253"
"Chisago County",27025,23.6,9371,"1,222"
"Benton County",27009,23.6,6450,"1,214"
"Brown County",27015,23.9,4240,"1,167"
"Mower County",27099,24.0,6399,"1,160"
"Wilkin County",27167,24.2,1093,"1,136"
"Le Sueur County",27079,24.7,4916,"1,068"
"Itasca County",27061,24.7,8086,"1,064"
"Cass County",27021,24.8,5519,"1,049"
"Carlton County",27017,25.1,6426,"1,028"
"Kandiyohi County",27067,25.9,7600,"964"
"Lake County",27075,26.1,2138,"951"
"Becker County",27005,26.3,6363,"928"
"Otter Tail County",27111,26.6,11386,"904"
"Polk County",27119,26.7,5595,"897"
"Houston County",27055,26.7,3597,"896"
"Wabasha County",27157,26.7,4130,"893"
"Crow Wing County",27035,27.2,13062,"845"
"Kittson County",27069,27.2,811,"839"
"Sherburne County",27141,27.3,17502,"835"
"Rock County",27133,27.4,1779,"823"
"Lyon County",27083,27.5,4454,"816"
"Goodhue County",27049,27.8,9370,"795"
"Steele County",27147,28.4,7148,"761"
"Douglas County",27041,28.4,7941,"756"
"Stearns County",27145,28.4,27859,"752"
"Stevens County",27149,28.6,1655,"741"
"Hubbard County",27057,29.6,4632,"687"
"Rice County",27131,30.0,12887,"668"
"Dodge County",27039,30.3,4211,"648"
"Beltrami County",27007,31.4,9035,"581"
"Anoka County",27003,31.5,78339,"580"
"St. Louis County",27137,31.7,43556,"570"
"Winona County",27169,31.8,9863,"559"
"Wright County",27171,33.1,30704,"479"
"Nicollet County",27103,34.9,7793,"402"
"Blue Earth County",27013,35.2,14262,"393"
"Clay County",27027,36.7,14626,"324"
"Scott County",27139,42.9,42238,"176"
"Dakota County",27037,44.1,131683,"156"
"Ramsey County",27123,44.7,164560,"140"
"Cook County",27031,46.4,2089,"122"
"Olmsted County",27109,47.7,52339,"107"
"Washington County",27163,47.9,87226,"101"
"Carver County",27019,49.8,35232,"82"
"Hennepin County",27053,52.6,465698,"58"
